id,name,latitude,longitude,distance_km,duration_min,type,address
227,"Lucky Bat cafe and pizzeria, 8, Pavonia Place, Nightcliff, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.386966,130.8506046,10.9,13.35,restaurant,Pavonia Place
228,"Spice Garden Eating House & Grill, Pavonia Place, Nightcliff, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3869292,130.8513276,10.82,13.16,restaurant,Pavonia Place
229,"Canteen, Tilston Avenue, Driver, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4954257,130.9727635,23.09,22.78,restaurant,Tilston Avenue
230,"Palmerston Tavern, Chung Wah Terrace, Palmerston City, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4807153,130.983729,22.48,21.71,restaurant,Chung Wah Terrace
231,"Madame Za by Rydges Palmerston, Maluka Drive, Palmerston City, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.480953,130.9885588,22.62,22.23,restaurant,Maluka Drive
232,"Primal Bar & Grill, 18, The Boulevard, Palmerston City, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4789554,130.9853843,22.13,21.31,restaurant,The Boulevard
233,"Happy Garden, Yarrawonga Road, Yarrawonga, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4717978,130.9832325,21.44,21.02,restaurant,Yarrawonga Road
234,"Nando's, Roystonea Road, Yarrawonga, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4716878,130.9826233,21.21,21.16,restaurant,Roystonea Road
235,"Ducks Nuts Bar & Grill, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4610768,130.837834,1.25,2.52,restaurant,Mitchell Street
236,"Mayberry, 3, Edmunds Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4618748,130.8412001,0.71,1.54,restaurant,Edmunds Street
237,"City Pizza, Cavenagh Street, One Mile Dam, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4620547,130.8423947,0.52,1.17,restaurant,Cavenagh Street
238,"PM Eat and Drink, 56 Smith Street, Knuckey Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4621143,130.8423333,0.53,1.19,restaurant,Knuckey Street
239,"Little Miss Korea, Austin Lane, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4622633,130.8416285,0.64,1.43,restaurant,Austin Lane
240,"Good Thanks, 33, Knuckey Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4622749,130.8422086,0.56,1.22,restaurant,Knuckey Street
241,"Mellow Thai, 69, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4627718,130.8392303,1.01,2.08,restaurant,Mitchell Street
242,"Go Sushi, 28, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4647618,130.8419141,0.71,1.79,restaurant,Mitchell Street
243,"Outback Jacks, 28, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4646556,130.8418069,0.69,1.72,restaurant,Mitchell Street
244,"Curry14, 27, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4643117,130.8425648,0.56,1.72,restaurant,Smith Street
245,"Istanbul, 69, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.462982,130.8394516,0.98,2.01,restaurant,Mitchell Street
246,"Alfonsino‘s, 69, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4630157,130.8392889,0.99,2.03,restaurant,Mitchell Street
247,"Sapphire Bar and Grill Darwin CBD, 48-50, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4631496,130.8420973,0.63,1.34,restaurant,Smith Street
248,"Mr Sushi, 48-50, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4629631,130.8422611,0.63,1.53,restaurant,Smith Street
249,"Tim's Surf and Turf, Litchfield Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4623503,130.8441907,0.74,1.9,restaurant,Litchfield Street
250,"Noodle House, 84, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4600612,130.8369453,1.4,2.65,restaurant,Mitchell Street
